Name,link Amount
REFERE,7
ENGLAN,3
SOUTHA,1
BRAZIL,1
467809,1
593553,1
593554,1
593556,1
593557,1
593558,1
631510,3
631513,2
677673,73
677681,1
677682,1
677684,3
677687,1
677688,1
900691,1
900692,1
900693,1
900694,2
900695,2
900696,7
942007,1
942008,3
942009,11
475574,1
475575,1
475576,2
475577,1
475578,1
475580,1
475583,1
475584,1
475585,17
475586,1
475588,1
475589,1
475590,8
475591,1
475592,1
475593,1
475594,2
475595,1
475598,1
475599,1
631808,1
631815,1
648265,1
648270,1
824555,1
824556,1
824557,1
824558,1
824559,1
824560,1
824561,1
824562,1
824563,1
824564,1
824565,1
824566,1
824567,2
824568,1
824569,1
824570,1
824571,1
824572,1
824573,1
824574,1
824575,1
824576,1
824577,1
824578,1
824579,1
824580,1
824581,1
824582,1
824583,1
824584,1
824585,1
824586,1
824587,1
824588,1
824589,1
824590,1
824591,1
824592,1
824593,1
824594,1
824595,1
824596,1
824597,1
824598,1
824599,1
900700,1
900702,1
900707,1
900709,1
900710,1
900712,3
900717,1
900721,1
900722,1
900723,1
900725,1
900730,1
900731,2
900733,1
900741,1
918496,1
593478,1
631767,1
631773,2
631829,1
754183,1
900714,1
937187,1
937195,1
937196,1
937199,1
940756,1
412970,1
436939,2
436942,1
436943,1
436944,6
436946,11
436948,1
436950,1
436952,1
436953,1
444994,2
444995,1
463280,1
463282,1
463285,1
463286,6
463287,1
463291,1
463295,3
475664,1
475665,1
475666,1
475667,1
475671,1
475672,1
475674,11
475675,1
475680,1
475682,1
475683,2
475686,1
475688,1
525683,1
525685,1
631724,1
631732,1
631762,4
824600,2
824602,1
824603,1
824604,1
824605,1
824606,1
824607,1
824608,1
824610,2
824611,1
824612,1
824613,1
824614,1
824615,1
824616,1
824618,1
824619,1
824620,1
824621,1
824622,1
824624,1
824625,1
824626,1
824627,2
824628,1
824630,1
824631,1
824632,1
824634,1
824636,1
824637,1
824638,1
824639,1
824640,1
824641,1
824642,1
824643,1
824644,1
824645,1
824646,1
824648,1
824649,1
824650,1
824651,1
824652,1
824653,1
824654,1
824655,1
824656,1
824658,1
824659,1
824660,1
824661,1
824663,1
824664,1
824665,1
824666,1
824667,1
824668,1
824669,2
824670,1
824671,1
824672,2
824673,1
824674,1
824676,1
824678,1
824679,1
824680,1
824681,1
824682,1
824684,1
824688,1
883400,1
911548,1
940900,22
940902,1
940906,1
940910,3
940913,1
940918,3
940919,1
983870,1
475601,1
475607,1
475610,1
475612,1
475613,1
475615,1
475620,1
475623,1
475628,1
475630,1
475632,3
475633,9
475634,1
475639,2
475645,1
475649,1
475654,1
475691,1
475696,1
516753,2
516762,2
516767,2
516771,7
516773,1
516774,1
525621,2
525627,1
525639,1
525640,1
525646,1
525648,1
525650,1
824686,1
824687,1
824689,1
824690,1
824691,1
824693,1
824694,1
824695,1
824696,1
824697,1
824699,1
857058,1
857059,1
857061,1
883328,1
883345,1
883351,1
883352,1
883353,1
883391,1
883392,1
883394,1
883398,1
883402,1
883404,1
883405,1
883407,1
937240,1
937245,1
937253,1
937255,1
940895,1
940896,1
940897,1
940898,2
943550,1
966310,1
966313,1
824700,1
824701,1
824702,1
824703,1
824704,1
824705,1
824706,1
824707,1
824709,1
824710,1
824711,1
824712,1
824713,1
824714,1
824715,1
824716,1
824717,1
824718,1
824719,1
824720,1
824722,1
824723,2
824725,1
824726,1
824728,1
824729,1
824730,2
824731,1
824732,1
824733,1
824736,1
824737,1
824740,1
824741,1
436959,1
445078,1
445080,1
445082,1
445084,2
475701,1
475704,1
475705,1
475708,1
475709,1
475712,1
475714,1
475715,1
583454,1
940975,1
940976,1
940977,1
940978,1
940979,2
940986,1
940989,4
940991,1
940993,1
940994,1
583434,1
583479,1
940921,1
940924,1
940927,1
940929,1
940930,2
940933,1
940934,1
940936,1
940937,3
940938,1
940945,1
940950,1
940952,1
940953,1
940956,1
940958,3
940959,1
940964,1
940965,1
940966,1
940969,1
940970,1
940981,1
966285,1
mv1,3
mv2,1
mv4,1
mv5,2
mv9,1
mv13,1
mv14,1
mv16,2
mv18,1
mv19,7
mv21,1
mv23,1
mv24,12
mv25,8
mv27,1
mv28,1
mv29,1
mv32,2
mv33,2
mv38,1
mv40,1
mv41,3
mv43,1
mv46,2
mv48,2
mv49,2
mv52,2
mv55,1
mv56,1
mv58,2
mv60,1
mv63,1
mv64,1
mv68,1
mv71,1
mv73,2
mv74,3
mv81,1
mv83,1
mv84,1
mv86,2
mv87,1
mv88,2
mv89,1
mv92,2
mv93,2
mv96,1
mv97,1
mv101,1
mv102,1
mv103,1
mv106,1
mv110,1
mv111,2
mv115,1
mv118,2
mv121,1
mv123,1
mv125,1
mv127,1
mv128,1
mv130,1
mv131,1
